customer_id,segment,p_repeat,clv_90d_proxy,clv_tier,recency_days,frequency,monetary,avg_basket_value,recommended_action
17450,Champions,0.9846548777536424,49969.162549806024,Platinum,8,51,246973.09,4842.609607843137,"Protect margin with VIP service, early access, and referral prompts."
14194,Champions,0.9844515660495815,2353.0956483801833,Platinum,5,36,18670.59,518.6275,"Protect margin with VIP service, early access, and referral prompts."
12731,Champions,0.9842764012127705,3523.669871875558,Platinum,24,17,25775.71,1516.2182352941177,"Protect margin with VIP service, early access, and referral prompts."
13319,Champions,0.9842742425872291,2668.7192859125835,Platinum,5,58,22082.5,380.73275862068965,"Protect margin with VIP service, early access, and referral prompts."
15358,Champions,0.9842742425872291,2060.580006779883,Platinum,5,42,17050.41,405.96214285714285,"Protect margin with VIP service, early access, and referral prompts."
14051,Champions,0.9839589391674124,2695.6202655567918,Platinum,1,37,22434.0,606.3243243243244,"Protect margin with VIP service, early access, and referral prompts."
14667,Champions,0.9837885180571277,2630.691288515996,Platinum,11,54,21927.14,406.0581481481481,"Protect margin with VIP service, early access, and referral prompts."
16191,Champions,0.983788120640187,1905.3935447365018,Platinum,3,24,15688.02,653.6675,"Protect margin with VIP service, early access, and referral prompts."
14527,Champions,0.9835841139850842,3333.6664355009334,Platinum,3,122,27792.3,227.80573770491802,"Protect margin with VIP service, early access, and referral prompts."
16722,Champions,0.9835165115680055,1081.0893673132002,Platinum,17,22,8989.08,408.5945454545454,"Protect margin with VIP service, early access, and referral prompts."
16133,Champions,0.9835086112197537,3287.847678717794,Platinum,4,56,22992.260000000002,410.5760714285715,"Protect margin with VIP service, early access, and referral prompts."
15738,Champions,0.983495270063546,1623.7349063829258,Platinum,19,41,13372.970000000001,326.17,"Protect margin with VIP service, early access, and referral prompts."
12683,Champions,0.983443370948302,1547.9211723209482,Platinum,4,21,12696.78,604.6085714285715,"Protect margin with VIP service, early access, and referral prompts."
15093,Champions,0.9834314672984105,1732.2230382760367,Platinum,18,23,14326.11,622.8743478260869,"Protect margin with VIP service, early access, and referral prompts."
16839,Champions,0.9833559199318613,2964.750326767648,Platinum,9,44,22310.49,507.05659090909097,"Protect margin with VIP service, early access, and referral prompts."
16985,Champions,0.9833513987846935,1326.0869956974088,Platinum,17,23,10923.16,474.92,"Protect margin with VIP service, early access, and referral prompts."
16422,Champions,0.9833031986023686,8081.753894127466,Platinum,17,109,63651.47,583.9584403669725,"Protect margin with VIP service, early access, and referral prompts."
17017,Champions,0.9831969920606193,1696.4889099628324,Platinum,3,29,14110.61,486.5727586206897,"Protect margin with VIP service, early access, and referral prompts."
13113,Champions,0.9831687447964452,2653.9471862344194,Platinum,1,37,18625.73,503.3981081081081,"Protect margin with VIP service, early access, and referral prompts."
13854,Champions,0.9831539562835283,1546.758392114992,Platinum,9,39,12253.96,314.2041025641025,"Protect margin with VIP service, early access, and referral prompts."
17243,Champions,0.9830633619032301,2504.3970733277815,Platinum,1,69,20889.86,302.75159420289856,"Protect margin with VIP service, early access, and referral prompts."
12647,Champions,0.9830153476640088,2281.7151125483797,Platinum,22,36,17924.35,497.89861111111105,"Protect margin with VIP service, early access, and referral prompts."
16525,Champions,0.9829746675251722,2950.841403365251,Platinum,2,48,24582.64,512.1383333333333,"Protect margin with VIP service, early access, and referral prompts."
17920,Champions,0.9828173568865204,2954.452612489468,Platinum,4,54,24516.46,454.0085185185185,"Protect margin with VIP service, early access, and referral prompts."
16746,Champions,0.9828173568865204,2174.200591402608,Platinum,5,42,18066.4,430.152380952381,"Protect margin with VIP service, early access, and referral prompts."
15044,Champions,0.9827377142910267,1982.316127695126,Platinum,19,35,16204.33,462.98085714285713,"Protect margin with VIP service, early access, and referral prompts."
16713,Champions,0.9827377142910267,1776.331763888302,Platinum,19,32,14560.69,455.0215625,"Protect margin with VIP service, early access, and referral prompts."
15615,Champions,0.9825811101857819,2564.653087450453,Platinum,10,47,21373.97,454.7653191489362,"Protect margin with VIP service, early access, and referral prompts."
15601,Champions,0.9822874430280124,1792.0900027063694,Platinum,11,30,14960.12,498.6706666666667,"Protect margin with VIP service, early access, and referral prompts."
15290,Champions,0.9822692861595975,1418.8312104951276,Platinum,5,26,10496.28,403.70307692307694,"Protect margin with VIP service, early access, and referral prompts."
15189,Champions,0.9821972668786174,3043.449572842451,Platinum,1,46,17524.38,380.96478260869566,"Protect margin with VIP service, early access, and referral prompts."
13199,Champions,0.9820198586678185,1976.011140649446,Platinum,4,67,16432.89,245.26701492537313,"Protect margin with VIP service, early access, and referral prompts."
14299,Champions,0.981954033719596,1736.3210600459688,Platinum,8,27,14499.49,537.0181481481482,"Protect margin with VIP service, early access, and referral prompts."
13798,Champions,0.9819508551921047,9168.436582275406,Platinum,1,110,75836.87,689.4260909090908,"Protect margin with VIP service, early access, and referral prompts."
17735,Champions,0.9819005649004529,3066.302989497362,Platinum,2,26,17244.93,663.2665384615385,"Protect margin with VIP service, early access, and referral prompts."
13090,Champions,0.9817284218103552,2522.4420768247896,Platinum,9,24,14103.09,587.62875,"Protect margin with VIP service, early access, and referral prompts."
17811,Champions,0.9816840521486144,1903.6790726242104,Platinum,4,47,9609.8,204.46382978723403,"Protect margin with VIP service, early access, and referral prompts."
17581,Champions,0.9814964051442733,2248.249358783649,Platinum,1,43,18757.75,436.2267441860465,"Protect margin with VIP service, early access, and referral prompts."
12471,Champions,0.9814127581077239,4815.672037040121,Platinum,2,79,39963.79,505.8707594936709,"Protect margin with VIP service, early access, and referral prompts."
14646,Champions,0.981335200758127,63346.35469157485,Platinum,2,151,528602.52,3500.678940397351,"Protect margin with VIP service, early access, and referral prompts."
15125,Champions,0.9812919748227891,2432.966257776882,Platinum,25,24,17024.87,709.3695833333333,"Protect margin with VIP service, early access, and referral prompts."
14292,Champions,0.9812594394288544,1291.2853268981648,Platinum,8,16,9226.25,576.640625,"Protect margin with VIP service, early access, and referral prompts."
15856,Champions,0.981153845350868,4105.68972312401,Platinum,4,52,34220.340000000004,658.0834615384616,"Protect margin with VIP service, early access, and referral prompts."
14607,Champions,0.9809809516772809,2939.4068584511283,Platinum,16,22,24137.63,1097.165,"Protect margin with VIP service, early access, and referral prompts."
12524,Champions,0.9809432717723988,1468.2622527577944,Platinum,9,17,11126.11,654.4770588235294,"Protect margin with VIP service, early access, and referral prompts."
17068,Champions,0.9808669952452376,1302.2900018552525,Platinum,12,47,9161.08,194.91659574468085,"Protect margin with VIP service, early access, and referral prompts."
16656,Champions,0.9807478851490871,2021.5219442271502,Platinum,22,30,16833.170000000002,561.1056666666667,"Protect margin with VIP service, early access, and referral prompts."
18172,Champions,0.9807414522212049,2116.4448970610256,Platinum,15,52,17479.84,336.15076923076924,"Protect margin with VIP service, early access, and referral prompts."
13098,Champions,0.9805332480162978,8040.433259764118,Platinum,1,28,28882.44,1031.5157142857142,"Protect margin with VIP service, early access, and referral prompts."
17576,Champions,0.9803452174883096,1085.722871233732,Platinum,8,41,9056.81,220.89780487804876,"Protect margin with VIP service, early access, and referral prompts."
12709,Champions,0.9803366286836335,3758.0474108359685,Platinum,15,34,31093.34,914.51,"Protect margin with VIP service, early access, and referral prompts."
17858,Champions,0.980271688030766,1540.3351393580133,Platinum,6,30,12797.65,426.5883333333333,"Protect margin with VIP service, early access, and referral prompts."
13985,Champions,0.9802643849014063,1323.4705011489216,Platinum,4,22,10020.86,455.49363636363637,"Protect margin with VIP service, early access, and referral prompts."
14110,Champions,0.9802136896726896,1550.4559880522286,Platinum,4,33,12987.95,393.57424242424247,"Protect margin with VIP service, early access, and referral prompts."
14709,Champions,0.9801825560158456,1068.0113198501717,Platinum,15,25,8886.33,355.4532,"Protect margin with VIP service, early access, and referral prompts."
13969,Champions,0.9801691927340537,1889.5404819358134,Platinum,7,35,13365.87,381.882,"Protect margin with VIP service, early access, and referral prompts."
13668,Champions,0.9801691927340537,1586.1703750636648,Platinum,3,35,13089.94,373.9982857142857,"Protect margin with VIP service, early access, and referral prompts."
15867,Champions,0.9801691927340537,1102.8667722805026,Platinum,5,31,9063.95,292.3854838709678,"Protect margin with VIP service, early access, and referral prompts."
15984,Champions,0.9801691927340537,1047.0262943047867,Platinum,3,30,8759.32,291.9773333333333,"Protect margin with VIP service, early access, and referral prompts."
13089,Champions,0.980162540936046,13972.845282623171,Platinum,3,203,116737.86,575.0633497536946,"Protect margin with VIP service, early access, and referral prompts."
18223,Champions,0.9801519978399197,1678.0794822094206,Platinum,5,26,14000.85,538.4942307692307,"Protect margin with VIP service, early access, and referral prompts."
16779,Champions,0.980043218294925,3986.940447954777,Platinum,2,53,33268.24,627.7026415094339,"Protect margin with VIP service, early access, and referral prompts."
14735,Champions,0.9798927776410953,1466.6630357410713,Platinum,4,56,12240.16,218.5742857142857,"Protect margin with VIP service, early access, and referral prompts."
13999,Champions,0.9798891123678789,1140.1421775782205,Platinum,10,29,9502.26,327.6641379310345,"Protect margin with VIP service, early access, and referral prompts."
18109,Champions,0.9798519264377463,1655.6269809275527,Platinum,2,38,9893.96,260.3673684210526,"Protect margin with VIP service, early access, and referral prompts."
15218,Champions,0.9797855027340598,1486.8801602488713,Platinum,11,22,11516.57,523.4804545454546,"Protect margin with VIP service, early access, and referral prompts."
17315,Champions,0.9797405594324597,1938.3999586726668,Platinum,2,43,9650.6,224.4325581395349,"Protect margin with VIP service, early access, and referral prompts."
18229,Champions,0.9797198857657695,1294.3136649920996,Platinum,12,28,10803.710000000001,385.8467857142858,"Protect margin with VIP service, early access, and referral prompts."
15291,Champions,0.9796992012495263,1656.569524402751,Platinum,26,40,13846.56,346.164,"Protect margin with VIP service, early access, and referral prompts."
13599,Champions,0.9796060739133974,1213.02366641051,Platinum,1,33,10167.630000000001,308.11,"Protect margin with VIP service, early access, and referral prompts."
16549,Champions,0.9795593078848353,1871.411146783536,Platinum,10,34,13182.19,387.71147058823533,"Protect margin with VIP service, early access, and referral prompts."
16923,Champions,0.9795593078848353,1739.588105606305,Platinum,12,32,13378.36,418.07375,"Protect margin with VIP service, early access, and referral prompts."
13418,Champions,0.9795593078848353,1481.4811914898255,Platinum,12,31,12233.6,394.6322580645161,"Protect margin with VIP service, early access, and referral prompts."
15555,Champions,0.9795593078848353,1454.807719969073,Platinum,12,36,12112.35,336.45416666666665,"Protect margin with VIP service, early access, and referral prompts."
13004,Champions,0.9795593078848353,1416.748787040418,Platinum,12,36,11650.85,323.63472222222225,"Protect margin with VIP service, early access, and referral prompts."
17677,Champions,0.979521508177686,4467.865343696863,Platinum,2,54,36692.91,679.4983333333334,"Protect margin with VIP service, early access, and referral prompts."
17428,Champions,0.979521508177686,3800.9925981770743,Platinum,1,45,31819.760000000002,707.1057777777778,"Protect margin with VIP service, early access, and referral prompts."
16353,Champions,0.9793457537983039,1204.0486095831134,Platinum,4,38,9999.460000000001,263.1436842105263,"Protect margin with VIP service, early access, and referral prompts."
14367,Champions,0.9792766685910441,2957.4751472899984,Platinum,8,16,9261.52,578.845,"Protect margin with VIP service, early access, and referral prompts."
15311,Champions,0.9792259345253977,13925.685175771756,Platinum,1,208,116771.16,561.3998076923077,"Protect margin with VIP service, early access, and referral prompts."
18041,Champions,0.9791382013793162,1109.75692804165,Platinum,12,38,8752.38,230.32578947368418,"Protect margin with VIP service, early access, and referral prompts."
14135,Champions,0.979094309649597,1151.5008774043833,Platinum,2,24,9643.92,401.83,"Protect margin with VIP service, early access, and referral prompts."
13756,Champions,0.979094309649597,1120.6505207857456,Platinum,2,23,9207.5,400.32608695652175,"Protect margin with VIP service, early access, and referral prompts."
12839,Champions,0.9789988692738224,1210.6672651388965,Platinum,3,26,10071.73,387.37423076923073,"Protect margin with VIP service, early access, and referral prompts."
16701,Champions,0.9789988692738224,1183.9594459626576,Platinum,9,26,9916.73,381.4126923076923,"Protect margin with VIP service, early access, and referral prompts."
15465,Champions,0.978826800734467,1527.2493781703618,Platinum,20,32,12655.65,395.4890625,"Protect margin with VIP service, early access, and referral prompts."
12708,Loyal,0.9787685148182399,648.3582255036079,Platinum,30,18,5314.1,295.2277777777778,Nudge replenishment and bundles; avoid over-discounting customers already likely to return.
15005,Champions,0.978717333985487,1683.6563971543999,Platinum,16,56,14106.2,251.89642857142857,"Protect margin with VIP service, early access, and referral prompts."
16161,Champions,0.9786490804975151,1686.8725886589868,Platinum,2,43,12831.8,298.4139534883721,"Protect margin with VIP service, early access, and referral prompts."
16558,Champions,0.9786490804975151,1660.2673946054038,Platinum,1,38,13873.51,365.09236842105264,"Protect margin with VIP service, early access, and referral prompts."
14085,Champions,0.9786490804975151,1217.5509766155235,Platinum,2,33,10104.97,306.2112121212121,"Protect margin with VIP service, early access, and referral prompts."
12901,Champions,0.9785804348207949,5737.545640880076,Platinum,9,28,17654.54,630.5192857142857,"Protect margin with VIP service, early access, and referral prompts."
12720,Champions,0.978553582310239,1434.942287712909,Platinum,3,30,8260.67,275.35566666666665,"Protect margin with VIP service, early access, and referral prompts."
13426,Champions,0.9784018680593861,985.1892964706551,Platinum,1,22,8167.38,371.24454545454546,"Protect margin with VIP service, early access, and referral prompts."
16013,Champions,0.9783317141474,6910.041899614643,Platinum,4,84,57446.44,683.8861904761904,"Protect margin with VIP service, early access, and referral prompts."
16168,Champions,0.9783299782587737,1270.7435166167013,Platinum,11,66,10636.47,161.15863636363636,"Protect margin with VIP service, early access, and referral prompts."
15270,Champions,0.9782695859930002,1039.5637308259638,Platinum,16,21,8524.86,405.9457142857143,"Protect margin with VIP service, early access, and referral prompts."
12989,Champions,0.9782029980054542,1636.5879602741252,Platinum,3,33,13551.75,410.65909090909093,"Protect margin with VIP service, early access, and referral prompts."
13767,Champions,0.9781688557929087,4233.853262237644,Platinum,2,73,35540.53,486.85657534246576,"Protect margin with VIP service, early access, and referral prompts."
15544,Champions,0.9781151654022633,1056.6789577324937,Platinum,9,20,8162.43,408.1215,"Protect margin with VIP service, early access, and referral prompts."
15298,Champions,0.9781070272372914,1139.1311413425249,Platinum,2,23,9459.37,411.2769565217392,"Protect margin with VIP service, early access, and referral prompts."
17377,Champions,0.9780192975381267,2184.9678657942604,Platinum,24,78,18319.41,234.86423076923077,"Protect margin with VIP service, early access, and referral prompts."
15955,Champions,0.9779834456775105,1165.2843229426144,Platinum,24,22,8658.36,393.5618181818182,"Protect margin with VIP service, early access, and referral prompts."
15903,Champions,0.9778637306433011,1132.0504696947896,Platinum,10,12,8939.84,744.9866666666667,"Protect margin with VIP service, early access, and referral prompts."
14849,Champions,0.9778277139444224,1984.6272460142322,Platinum,22,43,15763.45,366.59186046511627,"Protect margin with VIP service, early access, and referral prompts."
12553,Champions,0.9777641447283087,958.7809578758707,Platinum,8,12,4608.75,384.0625,"Protect margin with VIP service, early access, and referral prompts."
17306,Champions,0.9777365475883535,2130.719060562088,Platinum,11,21,9782.35,465.8261904761905,"Protect margin with VIP service, early access, and referral prompts."
12712,Loyal,0.9776822535185163,865.9100339071695,Platinum,29,21,7193.66,342.5552380952381,Nudge replenishment and bundles; avoid over-discounting customers already likely to return.
13102,Champions,0.9776158082189047,1768.313489609052,Platinum,1,37,11696.92,316.132972972973,"Protect margin with VIP service, early access, and referral prompts."
17238,Champions,0.9775922674979507,926.6344437681963,Platinum,3,32,7783.1,243.221875,"Protect margin with VIP service, early access, and referral prompts."
17730,Champions,0.9775900576443188,1159.2594290006552,Platinum,3,20,7773.8,388.69,"Protect margin with VIP service, early access, and referral prompts."
17841,Champions,0.9775845441836489,8462.096897523566,Platinum,2,211,70884.07,335.94345971563985,"Protect margin with VIP service, early access, and referral prompts."
15144,Champions,0.9774384101445092,1471.438606043733,Platinum,8,29,12160.31,419.3210344827586,"Protect margin with VIP service, early access, and referral prompts."
16186,Champions,0.9774226619516947,1087.683837937251,Platinum,23,26,9026.11,347.1580769230769,"Protect margin with VIP service, early access, and referral prompts."
14062,Champions,0.9774217912891646,3089.6423492007443,Platinum,10,24,25604.2,1066.8416666666667,"Protect margin with VIP service, early access, and referral prompts."
13069,Champions,0.9772682282749103,1568.4555744622594,Platinum,1,38,9683.13,254.81921052631577,"Protect margin with VIP service, early access, and referral prompts."
12921,Champions,0.9772607999873417,4281.002961802109,Platinum,9,74,35921.04,485.41945945945946,"Protect margin with VIP service, early access, and referral prompts."
12971,Champions,0.9772259564822953,1940.34840979237,Platinum,4,116,15972.79,137.6964655172414,"Protect margin with VIP service, early access, and referral prompts."
12600,Loyal,0.9771912820311164,606.0091784339003,Platinum,29,21,5043.92,240.18666666666667,Nudge replenishment and bundles; avoid over-discounting customers already likely to return.
13576,Champions,0.9770364882106071,1389.5792522694662,Platinum,10,28,11551.74,412.5621428571429,"Protect margin with VIP service, early access, and referral prompts."
13178,Champions,0.9770304966124255,1709.907558630927,Platinum,26,21,14059.19,669.4852380952382,"Protect margin with VIP service, early access, and referral prompts."
15061,Champions,0.9769480455550126,16397.480430278207,Platinum,4,127,137818.52,1085.1851968503936,"Protect margin with VIP service, early access, and referral prompts."
13267,Champions,0.9768913256542331,1172.0606000998373,Platinum,3,36,9758.26,271.0627777777778,"Protect margin with VIP service, early access, and referral prompts."
12747,Champions,0.9768819621838215,1114.1907291979558,Platinum,2,26,9276.539999999999,356.78999999999996,"Protect margin with VIP service, early access, and referral prompts."
14282,Champions,0.9766998796691487,1040.736920014986,Platinum,3,25,7849.66,313.9864,"Protect margin with VIP service, early access, and referral prompts."
16782,Champions,0.9766166448463103,1255.115247135042,Platinum,10,38,10438.41,274.695,"Protect margin with VIP service, early access, and referral prompts."
13534,Champions,0.9765727921079087,1305.0036122167994,Platinum,2,35,7720.9,220.59714285714284,"Protect margin with VIP service, early access, and referral prompts."
15039,Champions,0.9765636079262799,4819.714238373081,Platinum,10,93,40031.43,430.44548387096773,"Protect margin with VIP service, early access, and referral prompts."
12395,Champions,0.9764621528035815,738.507070602538,Platinum,19,15,5067.27,337.81800000000004,"Protect margin with VIP service, early access, and referral prompts."
17675,Champions,0.9764248296917118,4612.052273342348,Platinum,1,70,38259.6,546.5657142857143,"Protect margin with VIP service, early access, and referral prompts."
14739,Champions,0.976385976149456,1465.0757684861326,Platinum,4,25,12287.5,491.5,"Protect margin with VIP service, early access, and referral prompts."
14547,Champions,0.9763029606665751,6520.95527831621,Platinum,4,8,4007.54,500.9425,"Protect margin with VIP service, early access, and referral prompts."
13269,Champions,0.976153157310014,1058.4952474211527,Platinum,1,28,8891.7,317.5607142857143,"Protect margin with VIP service, early access, and referral prompts."
17857,Champions,0.9761401710497453,3924.9373821995114,Platinum,4,24,28682.24,1195.0933333333335,"Protect margin with VIP service, early access, and referral prompts."
14733,Champions,0.9760139394403353,3536.5872379306666,Platinum,16,15,16184.97,1078.998,"Protect margin with VIP service, early access, and referral prompts."
15251,Champions,0.9759524671694451,2625.3244796140684,Platinum,9,21,20324.54,967.8352380952381,"Protect margin with VIP service, early access, and referral prompts."
14121,Loyal,0.9757639051563248,4069.155031380535,Platinum,4,4,2780.15,695.0375,Nudge replenishment and bundles; avoid over-discounting customers already likely to return.
15838,Champions,0.9757578231798251,8983.257199508529,Platinum,11,34,74163.0,2181.264705882353,"Protect margin with VIP service, early access, and referral prompts."
16523,Champions,0.975732273733687,1529.8878638764402,Platinum,2,28,11916.33,425.5832142857143,"Protect margin with VIP service, early access, and referral prompts."
14057,Champions,0.9757113172403212,1003.2799344533686,Platinum,24,22,8408.84,382.22,"Protect margin with VIP service, early access, and referral prompts."
13050,Champions,0.9756826212213904,1497.2250068137407,Platinum,15,35,12344.53,352.70085714285716,"Protect margin with VIP service, early access, and referral prompts."
16684,Champions,0.9755486950906879,17648.967696581458,Platinum,4,55,147142.77,2675.3230909090908,"Protect margin with VIP service, early access, and referral prompts."
13408,Champions,0.9755233148268962,6171.260666296215,Platinum,2,106,51733.462,488.0515283018868,"Protect margin with VIP service, early access, and referral prompts."
13263,Champions,0.9754215363701971,1850.2827806497974,Platinum,1,39,8704.69,223.1971794871795,"Protect margin with VIP service, early access, and referral prompts."
15482,Champions,0.97514740830466,1737.7079183279816,Platinum,16,19,14592.56,768.0294736842105,"Protect margin with VIP service, early access, and referral prompts."
16670,Champions,0.975129997769938,966.7210063694159,Platinum,17,20,8030.150000000001,401.50750000000005,"Protect margin with VIP service, early access, and referral prompts."
15194,Champions,0.9750953145610536,1479.8323013345364,Platinum,3,28,12427.69,443.84607142857146,"Protect margin with VIP service, early access, and referral prompts."
13694,Champions,0.9749192082917033,23455.697824668878,Platinum,4,143,196482.81,1374.0056643356643,"Protect margin with VIP service, early access, and referral prompts."
17511,Champions,0.9749192082917033,20877.960236489333,Platinum,3,60,175603.55,2926.725833333333,"Protect margin with VIP service, early access, and referral prompts."
14258,Champions,0.9749053528044165,3820.9674779210427,Platinum,9,25,32051.34,1282.0536,"Protect margin with VIP service, early access, and referral prompts."
16814,Champions,0.9745095271818776,1803.1213542449884,Platinum,14,36,12499.710000000001,347.2141666666667,"Protect margin with VIP service, early access, and referral prompts."
16700,Champions,0.9744929980081934,1089.4962442402068,Platinum,9,25,9167.710000000001,366.70840000000004,"Protect margin with VIP service, early access, and referral prompts."
14298,Champions,0.9744301414986802,10985.768381200547,Platinum,8,82,91194.49,1112.1279268292683,"Protect margin with VIP service, early access, and referral prompts."
17809,Champions,0.9741333218166538,1348.672516049908,Platinum,16,20,11337.39,566.8695,"Protect margin with VIP service, early access, and referral prompts."
13881,Champions,0.9741215066731067,6140.920878437435,Platinum,4,43,45179.1,1050.6767441860466,"Protect margin with VIP service, early access, and referral prompts."
15640,Champions,0.9740135634919626,2896.759597461986,Platinum,4,29,23957.58,826.1234482758621,"Protect margin with VIP service, early access, and referral prompts."
12523,Champions,0.9739172210218799,523.5383825275588,Platinum,19,23,4372.15,190.09347826086955,"Protect margin with VIP service, early access, and referral prompts."
13468,Champions,0.9738755098926714,1594.6495623064704,Platinum,2,72,13390.51,185.97930555555556,"Protect margin with VIP service, early access, and referral prompts."
14755,Champions,0.9737132267903671,1187.4135130224795,Platinum,10,25,9972.550000000001,398.90200000000004,"Protect margin with VIP service, early access, and referral prompts."
12481,Champions,0.9734842247762875,1784.2267454986188,Platinum,23,15,12361.39,824.0926666666667,"Protect margin with VIP service, early access, and referral prompts."
14543,Loyal,0.9734147410079025,1769.5694705871185,Platinum,29,39,14906.77,382.22487179487183,Nudge replenishment and bundles; avoid over-discounting customers already likely to return.
14031,Champions,0.9733819394122696,4880.036202174458,Platinum,7,44,40999.17,931.7993181818182,"Protect margin with VIP service, early access, and referral prompts."
15805,Champions,0.9733690925726833,1224.4298221128843,Platinum,23,30,10189.23,339.64099999999996,"Protect margin with VIP service, early access, and referral prompts."
14291,Champions,0.973356459022168,947.2169779728328,Platinum,2,23,7904.1,343.6565217391304,"Protect margin with VIP service, early access, and referral prompts."
16210,Champions,0.9730111493422119,4573.358226112171,Platinum,2,35,38489.51,1099.7002857142859,"Protect margin with VIP service, early access, and referral prompts."
18102,Champions,0.9730077456788578,72144.70406878002,Platinum,1,145,608821.65,4198.77,"Protect margin with VIP service, early access, and referral prompts."
17404,Champions,0.9729299633866041,5959.959401560376,Platinum,4,23,47781.12,2077.44,"Protect margin with VIP service, early access, and referral prompts."
16945,Champions,0.9729183874247851,1023.9392391770377,Platinum,22,33,8548.16,259.0351515151515,"Protect margin with VIP service, early access, and referral prompts."
12500,Champions,0.9727216283440632,774.6635083949128,Platinum,23,19,5955.21,313.4321052631579,"Protect margin with VIP service, early access, and referral prompts."
13880,Champions,0.9722475966607182,683.7727388462471,Platinum,21,17,4391.66,258.33294117647057,"Protect margin with VIP service, early access, and referral prompts."
15694,Champions,0.972191030965327,1292.234326164377,Platinum,1,24,10810.81,450.4504166666666,"Protect margin with VIP service, early access, and referral prompts."
12841,Champions,0.9721320226856008,1271.1913007210733,Platinum,5,40,7540.68,188.517,"Protect margin with VIP service, early access, and referral prompts."
13758,Champions,0.9717571229713393,1114.4676120014585,Platinum,12,15,9416.98,627.7986666666667,"Protect margin with VIP service, early access, and referral prompts."
15993,Champions,0.971614140109438,5559.869802162192,Platinum,9,7,2797.57,399.65285714285716,"Protect margin with VIP service, early access, and referral prompts."
16705,Champions,0.9714365880692624,5211.630329560267,Platinum,1,42,43515.051,1036.072642857143,"Protect margin with VIP service, early access, and referral prompts."
14096,Champions,0.971429462279557,55855.58550817081,Platinum,4,17,65164.79,3833.2229411764706,"Protect margin with VIP service, early access, and referral prompts."
17739,Champions,0.9712895805822759,921.9341564635993,Platinum,12,18,7730.59,429.4772222222222,"Protect margin with VIP service, early access, and referral prompts."
15046,Champions,0.9712004934035048,983.9563862239979,Platinum,9,25,7812.389999999999,312.49559999999997,"Protect margin with VIP service, early access, and referral prompts."
12714,Champions,0.9710870597712998,1673.586612045167,Platinum,9,12,14093.71,1174.4758333333332,"Protect margin with VIP service, early access, and referral prompts."
17133,Champions,0.9710297455661955,2031.6129795765426,Platinum,16,12,14622.33,1218.5275,"Protect margin with VIP service, early access, and referral prompts."
17613,Champions,0.9710071687845947,1302.0492157542014,Platinum,23,14,4559.150000000001,325.65357142857147,"Protect margin with VIP service, early access, and referral prompts."
14961,Champions,0.9708630726799555,1948.2075797452549,Platinum,11,22,16410.15,745.9159090909092,"Protect margin with VIP service, early access, and referral prompts."
